[Eight, Ace, Seven, Joker, Seven] Three 301
[Queen, Ace, Ace, Ten, Seven] OnePair 677
[Joker, Three, King, Four, King] Three 622
[King, Joker, Joker, Six, Two] Three 577
[Four, Nine, Ace, Ace, Ace] Three 298
[Four, Five, Five, Eight, Five] Three 855
[Three, Three, King, King, King] FullHouse 115
[Four, Queen, Seven, Seven, Seven] Three 438
[Seven, King, King, Seven, Seven] FullHouse 836
[Five, Ten, Five, Five, Ten] FullHouse 397
[Eight, Five, Eight, Five, Five] FullHouse 56
[Queen, Six, Queen, Three, Eight] OnePair 157
[Ace, Ace, Eight, Ace, Ace] Four 85
[Three, Two, Joker, Three, Three] Four 293
[King, King, Queen, Queen, Ace] TwoPair 247
[Eight, Eight, Eight, Joker, Four] Four 944
[Two, Ace, Joker, Two, King] Three 482
[Three, Three, Seven, Seven, Seven] FullHouse 338
[King, Ten, Four, Three, Four] OnePair 696
[King, Three, King, Six, Three] TwoPair 648
[Eight, Six, Eight, Six, Six] FullHouse 136
[Nine, Three, Nine, Eight, Three] TwoPair 584
[Five, Seven, Eight, Five, Seven] TwoPair 489
[Five, Joker, Joker, Two, Queen] Three 76
[Eight, Two, Three, Three, Five] OnePair 133
[Joker, Two, Five, Ten, Four] OnePair 559
[Nine, Ten, Queen, Two, Ace] HighCard 211
[Five, Nine, Six, Joker, Six] Three 926
[Ace, Ten, Ace, Ace, Ace] Four 513
[Six, King, King, King, Queen] Three 277
[Ace, Ace, Ace, Two, Two] FullHouse 554
[Joker, Two, Two, Six, Five] Three 332
[Eight, Queen, Three, Queen, Queen] Three 486
[Six, Seven, Three, Five, Ace] HighCard 28
[Queen, Five, Five, Five, Five] Four 595
[Joker, Nine, Eight, Eight, Eight] Four 262
[Five, Queen, Queen, Queen, Two] Three 626
[Joker, Seven, Seven, Seven, Seven] Five 953
[Six, Four, Three, Ten, Ace] HighCard 572
[Eight, Five, Seven, Nine, Queen] HighCard 99
[Two, Three, Two, Nine, Four] OnePair 683
[Five, Five, Joker, Five, Four] Four 501
[Nine, Joker, King, Nine, Three] Three 567
[Six, Four, Three, Eight, Eight] OnePair 941
[Three, Joker, Eight, Ten, Five] OnePair 40
[Two, Nine, King, Two, Nine] TwoPair 422
[Joker, Queen, Four, King, Two] OnePair 401
[Ace, Ace, Six, Ace, Three] Three 78
[Two, King, King, Four, Four] TwoPair 821
[Nine, Ace, Ace, Two, Ace] Three 884
[Four, Three, Four, Three, Four] FullHouse 386
[Joker, Seven, Ace, Six, Seven] Three 177
[Four, Joker, King, King, Ten] Three 956
[Ace, Ace, Nine, Nine, Nine] FullHouse 296
[Two, Ace, Two, Ten, Nine] OnePair 519
[Nine, Ten, Nine, King, Ten] TwoPair 342
[Queen, Five, Joker, Five, Ace] Three 19
[Queen, Joker, King, Seven, Ace] OnePair 925
[Ace, Ace, Nine, Ace, Ace] Four 337
[Four, Ten, Two, Queen, Ten] OnePair 751
[Seven, Seven, Eight, Eight, Eight] FullHouse 324
[Three, Four, Three, Queen, Ten] OnePair 914
[Three, Three, Two, Two, Nine] TwoPair 576
[Joker, Five, Queen, Five, Queen] FullHouse 169
[Two, Two, Nine, Five, Two] Three 620
[Joker, Four, Four, Four, Four] Five 17
[Ten, Nine, Joker, Ten, Ten] Four 172
[Four, Eight, Eight, Eight, Eight] Four 729
[Two, Eight, Five, Two, Two] Three 138
